SIMPLE, GAME, SCORE, USER
Amino Acid,SelectorGame,100,gazheng
Amino Acid,SelectorGame,0,gazheng
Amino Acid,SelectorGame,34,gazheng
Amino Acid,TypingGame,100,gazheng
Amino Acid,TypingGame,67,gazheng
Fish Heart,SelectorGame,0,gazheng
Amino Acid,SelectorGame,34,moneal
Fish Heart,TypingGame,0,pstdenis
Bird or Mammal Heart,SelectorGame,100,rpscott
Eudicot Stem,TypingGame,67,lpao
Amino Acid,SelectorGame,100,animartin
Bird or Mammal Heart,TypingGame,100,mkale
Bird or Mammal Heart,SelectorGame,67,mkale
Amino Acid,SelectorGame,100,sbasir
Amphibian Heart,SelectorGame,100,sbasir
Amino Acid,SelectorGame,100,blekperaj
Amphibian Heart,SelectorGame,100,blekperaj
Bird or Mammal Heart,SelectorGame,67,blekperaj
Bird or Mammal Heart,SelectorGame,100,blekperaj
Fish Heart,TypingGame,0,pstdenis
Fish Heart,SelectorGame,0,pstdenis
Fish Heart,TypingGame,0,pstdenis
Flower,SelectorGame,0,pstdenis
DNA Structure,SelectorGame,67,blekperaj
DNA Structure,SelectorGame,100,blekperaj
Bird or Mammal Heart,SelectorGame,100,blekperaj
Bird or Mammal Heart,SelectorGame,67,jmoises
Bird or Mammal Heart,SelectorGame,100,jmoises
Bird or Mammal Heart,TypingGame,100,ebutlerbasne
Bird or Mammal Heart,SelectorGame,67,ebutlerbasne
Bird or Mammal Heart,SelectorGame,34,mumkhan
Bird or Mammal Heart,TypingGame,100,jmnewman
Amino Acid,SelectorGame,100,gpaniccia
Amino Acid,TypingGame,100,gpaniccia
DNA Structure,TypingGame,67,gpaniccia
Amino Acid,TypingGame,67,shcchoi
Amphibian Heart,TypingGame,100,shcchoi
Bird or Mammal Heart,TypingGame,100,shcchoi
DNA Structure,TypingGame,67,shcchoi
Amphibian Heart,TypingGame,67,cltse
Amphibian Heart,SelectorGame,67,cltse
Amino Acid,SelectorGame,100,jigeorge
Amino Acid,TypingGame,0,jigeorge
Bird or Mammal Heart,SelectorGame,67,jigeorge
Bird or Mammal Heart,TypingGame,100,mmilhaven
Bird or Mammal Heart,SelectorGame,100,pspencer
Amino Acid,SelectorGame,100,sclynch
Bird or Mammal Heart,SelectorGame,100,akuruvilla
Bird or Mammal Heart,SelectorGame,67,shcchoi
Bird or Mammal Heart,SelectorGame,100,ddayen
Bird or Mammal Heart,SelectorGame,67,sprutchenko
Bird or Mammal Heart,TypingGame,34,sprutchenko
Bird or Mammal Heart,TypingGame,100,sprutchenko
Amino Acid,SelectorGame,100,siysun
Bird or Mammal Heart,SelectorGame,100,egoradia
Amphibian Heart,TypingGame,34,harzhou
Amphibian Heart,SelectorGame,0,harzhou
Amphibian Heart,SelectorGame,34,harzhou
Amphibian Heart,SelectorGame,67,harzhou
Bird or Mammal Heart,SelectorGame,100,davidrodrigu
Bird or Mammal Heart,SelectorGame,34,anjsmith
Bird or Mammal Heart,SelectorGame,100,anjsmith
Bird or Mammal Heart,TypingGame,100,anjsmith
Bird or Mammal Heart,TypingGame,100,anjsmith
Amino Acid,TypingGame,100,naislam
Amino Acid,SelectorGame,67,naislam
Amino Acid,SelectorGame,100,naislam
Bird or Mammal Heart,SelectorGame,34,naislam
DNA Structure,SelectorGame,0,siysun
DNA Structure,SelectorGame,100,siysun
Bird or Mammal Heart,SelectorGame,100,lyuan
Bird or Mammal Heart,TypingGame,67,snqureshi
Bird or Mammal Heart,SelectorGame,100,snqureshi
Bird or Mammal Heart,SelectorGame,67,wgolda
Bird or Mammal Heart,SelectorGame,100,wgolda
Bird or Mammal Heart,TypingGame,100,mkale
Bird or Mammal Heart,SelectorGame,100,smkeane
Bird or Mammal Heart,TypingGame,100,smkeane
Bird or Mammal Heart,SelectorGame,67,ikernin
Bird or Mammal Heart,TypingGame,100,ikernin
Amino Acid,TypingGame,0,carty
